Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"setText(findTestObject(""Object Repository/1.MKP/Sell/input_fixed-price-amount""), priceToSell)",Chrome 108.0.0.0,,,2023-01-03 10:10:46,2023-01-03 10:10:47,0.339s,PASSED
"click(findTestObject(""Object Repository/1.MKP/Sell/span_Private_Listing""))",Chrome 108.0.0.0,,,2023-01-03 10:10:47,2023-01-03 10:10:47,0.179s,PASSED
"click(findTestObject(""Object Repository/1.MKP/Sell/div_Manage member""))",Chrome 108.0.0.0,,,2023-01-03 10:10:47,2023-01-03 10:10:47,0.263s,PASSED
"setText(findTestObject(""Object Repository/1.MKP/Sell/input_Wallet Address or Username""), ""lamldt"")",Chrome 108.0.0.0,,,2023-01-03 10:10:47,2023-01-03 10:10:48,0.448s,PASSED
"click(findTestObject(""Object Repository/1.MKP/Sell/div_Add member""))",Chrome 108.0.0.0,,,2023-01-03 10:10:48,2023-01-03 10:10:48,0.236s,PASSED
"click(findTestObject(""Object Repository/1.MKP/Sell/div_Done""))",Chrome 108.0.0.0,,,2023-01-03 10:10:48,2023-01-03 10:10:48,0.255s,PASSED
"click(findTestObject(""Object Repository/1.MKP/Sell/div_fixed-price-duration""))",Chrome 108.0.0.0,,,2023-01-03 10:10:48,2023-01-03 10:10:48,0.327s,PASSED
"click(findTestObject(""Object Repository/1.MKP/Sell/button_dateRange""))",Chrome 108.0.0.0,,,2023-01-03 10:10:48,2023-01-03 10:10:49,0.205s,PASSED
"click(findTestObject(""Object Repository/1.MKP/Sell/div_Date Range_3 days""))",Chrome 108.0.0.0,,,2023-01-03 10:10:49,2023-01-03 10:10:49,0.216s,PASSED
"click(findTestObject(""Object Repository/1.MKP/Sell/button_Confirm_Duration""))",Chrome 108.0.0.0,,,2023-01-03 10:10:49,2023-01-03 10:10:49,0.275s,PASSED
"waitForElementClickable(findTestObject(""Object Repository/1.MKP/Sell/button_Place on market""), 5)",Chrome 108.0.0.0,,,2023-01-03 10:10:49,2023-01-03 10:10:49,0.162s,PASSED
"click(findTestObject(""Object Repository/1.MKP/Sell/button_Place on market""))",Chrome 108.0.0.0,,,2023-01-03 10:10:49,2023-01-03 10:10:50,0.248s,PASSED
"click(findTestObject(""1.MKP/Sell/button_Close_Popup""))",Chrome 108.0.0.0,,,2023-01-03 10:10:50,2023-01-03 10:10:50,0.208s,PASSED
closeBrowser(),Chrome 108.0.0.0,,,2023-01-03 10:10:50,2023-01-03 10:10:51,0.880s,PASSED
Start listener action : sampleAfterTestCase,Chrome 108.0.0.0,,,2023-01-03 10:10:51,2023-01-03 10:10:51,0.001s,PASSED
,,,,,,,
Test Cases/1.MKP/Sell/Fixed Price/Sell_Fixed Price_Cancel_30 days,Chrome 108.0.0.0,,,2023-01-03 10:10:51,2023-01-03 10:11:00,9.744s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 108.0.0.0,,,2023-01-03 10:10:51,2023-01-03 10:10:51,0.001s,PASSED
"callTestCase(findTestCase(""1.MKP/BeforeTest/OpenChromeProfiles""), [:], STOP_ON_FAILURE)",Chrome 108.0.0.0,,,2023-01-03 10:10:51,2023-01-03 10:10:53,2.377s,PASSED
navigateToUrl(MKP_url),Chrome 108.0.0.0,,,2023-01-03 10:10:53,2023-01-03 10:10:54,0.641s,PASSED
"waitForElementClickable(findTestObject(""Object Repository/1.MKP/Sell/img_header_profile_avatar""), 5)",Chrome 108.0.0.0,,,2023-01-03 10:10:54,2023-01-03 10:10:55,0.704s,PASSED
"click(findTestObject(""Object Repository/1.MKP/Sell/img_header_profile_avatar""))",Chrome 108.0.0.0,,,2023-01-03 10:10:55,2023-01-03 10:10:55,0.330s,PASSED
"click(findTestObject(""Object Repository/1.MKP/Sell/div_My Profile""))",Chrome 108.0.0.0,,,2023-01-03 10:10:55,2023-01-03 10:10:55,0.399s,PASSED
"click(findTestObject(""Object Repository/1.MKP/Sell/div_Owned""))",Chrome 108.0.0.0,,,2023-01-03 10:10:55,2023-01-03 10:10:56,0.451s,PASSED
"click(findTestObject(""Object Repository/1.MKP/Sell/button_Sell""))",Chrome 108.0.0.0,,,2023-01-03 10:10:56,2023-01-03 10:10:56,0.496s,PASSED
"click(findTestObject(""Object Repository/1.MKP/Sell/div_Fixed Price""))",Chrome 108.0.0.0,,,2023-01-03 10:10:56,2023-01-03 10:10:57,0.693s,PASSED
"setText(findTestObject(""Object Repository/1.MKP/Sell/input_fixed-price-amount""), priceToSell)",Chrome 108.0.0.0,,,2023-01-03 10:10:57,2023-01-03 10:10:57,0.408s,PASSED
"click(findTestObject(""Object Repository/1.MKP/Sell/span_Private_Listing""))",Chrome 108.0.0.0,,,2023-01-03 10:10:57,2023-01-03 10:10:58,0.225s,PASSED
"click(findTestObject(""Object Repository/1.MKP/Sell/span_Private_Listing""))",Chrome 108.0.0.0,,,2023-01-03 10:10:58,2023-01-03 10:10:58,0.208s,PASSED
"click(findTestObject(""Object Repository/1.MKP/Sell/div_fixed-price-duration""))",Chrome 108.0.0.0,,,2023-01-03 10:10:58,2023-01-03 10:10:58,0.297s,PASSED
"click(findTestObject(""Object Repository/1.MKP/Sell/button_dateRange""))",Chrome 108.0.0.0,,,2023-01-03 10:10:58,2023-01-03 10:10:58,0.227s,PASSED
"click(findTestObject(""Object Repository/1.MKP/Sell/div_Date Range_3 days""))",Chrome 108.0.0.0,,,2023-01-03 10:10:58,2023-01-03 10:10:59,0.295s,PASSED
"click(findTestObject(""Object Repository/1.MKP/Sell/button_Confirm_Duration""))",Chrome 108.0.0.0,,,2023-01-03 10:10:59,2023-01-03 10:10:59,0.240s,PASSED
"waitForElementClickable(findTestObject(""Object Repository/1.MKP/Sell/button_Place on market""), 5)",Chrome 108.0.0.0,,,2023-01-03 10:10:59,2023-01-03 10:10:59,0.099s,PASSED
"click(findTestObject(""Object Repository/1.MKP/Sell/button_Place on market""))",Chrome 108.0.0.0,,,2023-01-03 10:10:59,2023-01-03 10:10:59,0.203s,PASSED
"click(findTestObject(""1.MKP/Sell/button_Close_Popup""))",Chrome 108.0.0.0,,,2023-01-03 10:10:59,2023-01-03 10:10:59,0.201s,PASSED
closeBrowser(),Chrome 108.0.0.0,,,2023-01-03 10:10:59,2023-01-03 10:11:00,0.930s,PASSED
Start listener action : sampleAfterTestCase,Chrome 108.0.0.0,,,2023-01-03 10:11:00,2023-01-03 10:11:00,0.001s,PASSED
,,,,,,,
Test Cases/1.MKP/Sell/Fixed Price/Sell_Fixed Price_Cancel_7 days,Chrome 108.0.0.0,,,2023-01-03 10:11:00,2023-01-03 10:11:11,10.664s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 108.0.0.0,,,2023-01-03 10:11:00,2023-01-03 10:11:00,0.001s,PASSED
"callTestCase(findTestCase(""1.MKP/BeforeTest/OpenChromeProfiles""), [:], STOP_ON_FAILURE)",Chrome 108.0.0.0,,,2023-01-03 10:11:01,2023-01-03 10:11:04,2.984s,PASSED
navigateToUrl(MKP_url),Chrome 108.0.0.0,,,2023-01-03 10:11:04,2023-01-03 10:11:05,1.465s,PASSED
"click(findTestObject(""Object Repository/1.MKP/Sell/img_header_profile_avatar""))",Chrome 108.0.0.0,,,2023-01-03 10:11:05,2023-01-03 10:11:06,0.865s,PASSED
"click(findTestObject(""Object Repository/1.MKP/Sell/div_My Profile""))",Chrome 108.0.0.0,,,2023-01-03 10:11:06,2023-01-03 10:11:06,0.463s,PASSED
"click(findTestObject(""Object Repository/1.MKP/Sell/div_Owned""))",Chrome 108.0.0.0,,,2023-01-03 10:11:06,2023-01-03 10:11:07,0.490s,PASSED
"click(findTestObject(""Object Repository/1.MKP/Sell/button_Sell""))",Chrome 108.0.0.0,,,2023-01-03 10:11:07,2023-01-03 10:11:07,0.404s,PASSED
"click(findTestObject(""Object Repository/1.MKP/Sell/div_Fixed Price""))",Chrome 108.0.0.0,,,2023-01-03 10:11:07,2023-01-03 10:11:08,0.620s,PASSED
